num_bikes_available,is_renting,num_docks_available,is_returning,num_ebikes_available,station_id,num_bikes_disabled,legacy_id,last_reported,eightd_has_available_keys,is_installed,num_docks_disabled,num_scooters_unavailable,num_scooters_available
0,0,0,0,0,66dc2995-0aca-11e7-82f6-3863bb44ef7c,0,466,86400,False,0,0,,
0,0,0,0,0,06439006-11b6-44f0-8545-c9d39035f32a,0,4648,86400,False,0,0,,
0,0,1,0,0,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,0,4748,1709575210,False,0,0,,
14,1,5,1,0,1835250442210857240,1,1835250442210857240,1709643197,False,1,0,0.0,0.0
17,1,8,1,2,1869753057823626206,1,1869753057823626206,1709643198,False,1,0,0.0,0.0
2,1,24,1,0,56b3ca32-104a-4920-a879-a97a820858c4,0,3599,1709643199,False,1,1,0.0,0.0
20,1,1,1,2,525535e3-dde3-47b4-9c2e-0174eaa4f2bb,0,4961,1709643204,False,1,0,0.0,0.0
18,1,27,1,4,d8778570-f7f2-458d-82f5-9ad39210a501,5,4333,1709643204,False,1,0,0.0,0.0
5,1,15,1,3,d2b23c87-b7c3-48c2-a634-db4b76ecbcf7,0,4929,1709643200,False,1,0,0.0,0.0
5,1,22,1,0,1f8f6714-42a7-45d5-86cd-a093c940b2c9,0,4635,1709643200,False,1,0,0.0,0.0
19,1,7,1,6,7f4753d7-8d58-48bd-a881-de5bff08b27d,0,4820,1709643202,False,1,0,0.0,0.0
10,1,21,1,0,cbf76774-1276-4cf8-9442-f00571f1451c,2,4225,1709643205,False,1,0,0.0,0.0
31,1,9,1,17,1b038e21-e199-4c47-bef0-f4bcdc06b73b,2,4407,1709643205,False,1,0,0.0,0.0
10,1,8,1,0,1f088432-0460-421e-a1d9-36890fa5396d,0,4142,1709643205,False,1,1,0.0,0.0
20,1,0,1,3,1851254468343716806,1,1851254468343716806,1709643202,False,1,0,0.0,0.0
14,1,9,1,6,633fbc4c-7617-47ba-a393-aad7a8d26a3e,1,3676,1709643203,False,1,0,0.0,0.0
5,1,11,1,3,481624f3-9377-4dfd-a5dd-de05a7fef760,3,4103,1709643203,False,1,0,0.0,0.0
5,1,16,1,0,0dd71c6d-11ee-4ad4-ba99-36b9ad36112c,0,4942,1709643208,False,1,0,0.0,0.0
14,1,3,1,2,66dbf288-0aca-11e7-82f6-3863bb44ef7c,3,406,1709643208,False,1,0,0.0,0.0
18,1,10,1,0,1815967442754883940,2,1815967442754883940,1709643208,False,1,0,0.0,0.0
23,1,3,1,3,0687075b-cf2d-4130-a859-fe841aafbd3f,1,3554,1709643208,False,1,0,0.0,0.0
6,1,15,1,1,26cae473-0e59-4af7-bad5-bb6fec85c8bc,1,3896,1709643208,False,1,0,0.0,0.0
23,1,0,1,0,1814907423052790164,2,1814907423052790164,1709643208,False,1,1,0.0,0.0
36,1,10,1,2,66dd24ca-0aca-11e7-82f6-3863bb44ef7c,1,3123,1709643207,False,1,0,0.0,0.0
19,1,22,1,1,1786697771181570266,2,1786697771181570266,1709643209,False,1,1,0.0,0.0
7,1,16,1,0,1817432434869846072,0,1817432434869846072,1709643209,False,1,0,0.0,0.0
3,1,14,1,0,6fb81fda-f0b5-4242-90f9-88d0214feb8d,1,4786,1709643210,False,1,0,0.0,0.0
19,1,8,1,5,7938263e-e5b8-4ca7-b8bf-1adbaae5fead,0,4206,1709643210,False,1,0,0.0,0.0
24,1,14,1,19,a47f77a2-9008-4652-a4f1-b95eee723a1b,1,3712,1709643210,False,1,0,0.0,0.0
16,1,2,1,0,66de63cd-0aca-11e7-82f6-3863bb44ef7c,2,3422,1709643206,False,1,0,0.0,0.0
15,1,3,1,0,a2ef8ed2-6031-4049-b7dc-9838ef39889b,1,4202,1709643206,False,1,0,0.0,0.0
29,1,41,1,14,66dc120f-0aca-11e7-82f6-3863bb44ef7c,4,435,1709643211,False,1,0,0.0,0.0
29,1,18,1,0,66db447a-0aca-11e7-82f6-3863bb44ef7c,2,260,1709643207,False,1,0,0.0,0.0
6,1,20,1,0,12279d2b-29f6-4e02-a7f0-244970f7edd5,0,3561,1709643217,False,1,0,0.0,0.0
5,1,15,1,1,4568f854-1268-45cf-bac8-82286ef40ae6,1,4956,1709643217,False,1,0,0.0,0.0
8,1,7,1,0,44c23eaa-7ddf-40b3-8373-6f3880c5e1b1,3,4160,1709643216,False,1,0,0.0,0.0
1,1,17,1,0,c602146e-d69d-43b6-9e8f-054c4df5377e,1,4250,1709643216,False,1,0,0.0,0.0
26,1,6,1,14,18415ea7-efce-408d-bcb9-4693fb088dda,2,4884,1709643216,False,1,0,0.0,0.0
16,1,5,1,0,ca7ec509-cefc-4ac6-b729-08999d191051,2,4292,1709643216,False,1,0,0.0,0.0
9,1,12,1,0,1862788202397235246,0,1862788202397235246,1709643212,False,1,0,0.0,0.0
10,1,9,1,3,8a89684b-40a5-49fe-b75d-fdf32ffa8102,1,4141,1709643212,False,1,0,0.0,0.0
