num_bikes_available;num_ebikes_available;station_id;legacy_id;num_docks_available;is_installed;num_docks_disabled;num_bikes_disabled;name;has_kiosk;lat;lon;capacity_original;zipCode;capacity_zip_sum;
2;2;24509e46-a0de-47e8-ba40-9441da68952a;4440;17;1;0;0;Fort Washington Ave & W 190 St;True;40.856.906;-73.935.662;19;10040;338;
2;1;6fab98b7-b06a-49d8-a4d1-087ffce0ebcf;4157;10;1;0;7;Boston Rd & Prospect Ave;True;40.833.246;-73.896.599;19;10459;482;
10;0;81bec993-29a5-4e70-8f60-eecdf16c7be4;4684;17;1;0;0;Railroad Ave & Kay Ave;True;4.070.514.807.698.390;-7.397.078.096.866.600;30;11249;722;
11;10;655ad2f2-6bcc-4eee-95a9-4f528c0b81cd;4112;4;1;0;3;Wards Meadow Comfort Station;True;4.078.294;-7.393.077;18;10035;556;
15;5;1,86201E+18;1,86201E+18;4;1;0;2;E 189 St & Bathgate Ave;True;4.085.859;-7.388.821;21;10458;772;
9;4;66de1ea2-0aca-11e7-82f6-3863bb44ef7c;3361;9;1;1;0;Carroll St & 6 Ave;True;406.740.886;-739.787.282;23;11215;1088;
11;4;8a89684b-40a5-49fe-b75d-fdf32ffa8102;4141;8;1;0;1;Southern Blvd & Tiffany St;True;40.818.185;-73.894.143;20;10459;482;
15;10;66dd4d70-0aca-11e7-82f6-3863bb44ef7c;3166;19;1;0;6;Riverside Dr & W 72 St;True;4.078.057.799.010.330;-7.398.562.431.335.440;41;10023;683;
0;0;cf1a96a7-f695-4ba2-bcf2-899552e21e47;5005;17;1;0;2;Herkimer St & Eastern Pkwy;True;4.067.738;-7.390.829;20;11233;877;
2;1;bcb08532-f0d5-4c0e-ad8a-4ddacc204791;3833;16;1;0;0;Madison St & Evergreen Ave;True;4.069.122;-7.391.693;18;11221;906;
26;0;6969d756-33a6-4a0b-83d0-3db38bc382d1;4412;2;1;0;1;53 St & 2 Ave;True;4.064.744;-74.018.846;30;11220;832;
7;5;481624f3-9377-4dfd-a5dd-de05a7fef760;4103;10;1;0;2;Ogden Ave & W 165 St;True;40.834.457;-73.928.381;19;10452;570;
31;0;1,81455E+18;1,81455E+18;1;1;1;2;Calyer St & West St;True;4.072.693;-7.395.863;35;11222;1314;
1;0;66dd9fa6-0aca-11e7-82f6-3863bb44ef7c;3233;53;1;0;7;E 48 St & 5 Ave;True;4.075.724.567.911.720;-7.397.805.914.282.790;62;10017;807;
18;0;5645b05e-85be-460d-8506-cacd20bff233;4416;7;1;1;3;36 St & 3 Ave;True;40.655.716;-74.006.664;30;11232;613;
14;5;0b613329-b8c8-4b8c-ad40-79952aa41157;3496;9;1;0;2;1 Ave & E 110 St;True;407.923.272;-739.383;25;10029;639;
8;1;d979131e-0b9f-4aa2-88c5-46d4ff94abc8;4958;10;1;0;1;Pacific St & Sackman St;True;4.067.522;-739.061;19;11212;40;
12;6;66db3687-0aca-11e7-82f6-3863bb44ef7c;216;20;1;0;5;Columbia Heights & Cranberry St;True;4.070.037.867;-7.399.548.059;37;11201;2201;
1;0;1,83415E+18;1,83415E+18;17;1;0;1;92 St & 37 Ave;True;4.075.085;-7.387.509;19;11372;601;
30;8;66dc7ba2-0aca-11e7-82f6-3863bb44ef7c;511;8;1;0;5;E 14 St & Ave B;True;4.072.938.685;-7.397.772.429;43;10009;1560;
15;2;1,91142E+18;1,91142E+18;3;1;0;0;Woodward Ave & Starr St;True;4.071.147;-7.391.694;19;11385;909;
4;2;d470e82e-d109-4e2e-b66a-f5e944cbfe97;4940;17;1;0;0;Eastern Pkwy & Ralph Ave;True;4.066.852;-7.392.284;21;11233;877;
7;0;1,83525E+18;1,83525E+18;13;1;0;0;24 Ave & 92 St;True;4.076.589;-7.387.789;20;11369;564;
10;0;bacfe3c2-7946-45ed-91f9-f5b91791de75;3503;17;1;0;3;Madison Ave & E 120 St;True;4.080.295;-73.942.954;30;10035;556;
11;7;69f84045-48f9-4c6c-90d3-0503e5ed39e9;3574;9;1;0;2;Prospect Pl & Underhill Ave;True;406.769.694;-7.396.579;23;11238;906;
7;6;c2bb1874-bcb7-47c5-aa7d-05423b9087e8;4917;17;1;1;0;Sterling Pl & New York Ave;True;4.067.234;-7.394.763;25;11216;583;
11;2;dad39e68-53f5-47c2-87e2-b1cc0e34f90f;3926;4;1;0;5;5 Ave & W 131 St;True;4.081.014;-7.393.973;20;10037;178;
16;5;dccaeeb5-c53a-4f48-80e6-05675b71a8c8;3508;12;1;0;3;St Nicholas Ave & Manhattan Ave;True;40.809.725;-73.953.149;31;10027;668;
26;7;66dc3782-0aca-11e7-82f6-3863bb44ef7c;471;4;1;0;1;Grand St & Havemeyer St;True;4.071.286.844;-7.395.698.119;31;11211;967;
34;3;66dd2060-0aca-11e7-82f6-3863bb44ef7c;3115;10;1;0;5;India St & Manhattan Ave;True;4.073.232.194;-739.550.858;50;11222;1314;
14;7;b896d83d-5524-4c9c-a2aa-c1b0edaadc22;4083;3;1;0;3;Walton Ave & E 168 St;True;4.083.649;-73.918.316;20;10452;570;
6;3;66dcc0b2-0aca-11e7-82f6-3863bb44ef7c;3053;13;1;0;3;Marcy Ave & Lafayette Ave;True;406.900.815;-73.947.915;23;11216;583;
