num_bikes_disabled;lat;lon;;;
0;4.070.188.858.913.360;-7.401.089.876.890.180;;;
2;4.088.602;-7.390.232;;;
0;4.067.911.856.082.160;-7.397.176.265.716.550;;;
1;4.072.532;-739.368;;;
1;407.658.346;-739.265.474;;;
5;4.080.262;-739.174;;;
0;40.765.959.181.657.900;-7.398.313.522.338.860;;;
3;4.075.492;-7.398.455;;;
1;4.066.846;-739.282;;;
1;4.087.307;-7.388.971;;;
0;4.074.797;-7.388.204;;;
2;4.074.947.822.183.470;-7.391.826.465.725.890;;;
0;4.074.446;-7.389.764;;;
0;4.076.447;-7.387.369;;;
3;4.069.196.566;-739.813.018;;;
2;4.082.090.903.827.730;-7.392.753.845.245.070;;;
6;4.087.935;-7.388.534;;;
3;408.863;-738.997;;;
1;407.277;-7.394.395;;;
1;4.070.960.089.363.530;-7.400.655.090.808.860;;;
1;4.070.583.339;-7.394.644.578;;;
0;40.774.798;-73.903.787;;;
1;40.812.191;-73.937.838;;;
1;40.648.005;-73.979.342;;;
0;4.067.434;-7.400.194.698;;;
5;4.064.435;-7.396.591;;;
0;40.813.619;-73.939.336;;;
1;406.691.783;-739.554.162;;;
0;4.069.356;-7.392.524;;;
1;40.663.493;-73.991.007;;;
1;4.077.684.387;-7.393.463.418;;;
1;407.408;-7.384.978;;;
2;407.923.272;-739.383;;;
1;40.752.443;-73.929.737;;;
0;4.075.206.862;-7.396.784.384;;;
3;40.825.125;-73.941.616;;;
0;4.065.159;-7.393.535;;;
2;40.861.669;-73.898.589;;;
1;40.782.465;-73.914.527;;;
1;4.064.796;-739.556;;;
3;4.067.267.243.410.940;-740.087.952.464.819;;;
0;4.064.243.139.706.090;-740.255.355.834.961;;;
1;4.073.672;-7.387.728;;;
1;4.072.737.869.323.220;-7.398.840.844.631.190;;;
4;4.071.260.486;-7.396.264.403;;;
2;4.084.833;-7.390.971;;;
0;4.075.896;-7.386.976;;;
3;4.071.469;-7.395.739;;;
