num_bikes_available,num_docks_available,num_ebikes_available,station_id,num_bikes_disabled,last_reported,is_installed,num_docks_disabled,time,total_docks,per_num_docks_available,per_num_bikes_available,name,lat,lon,capacity_original,zipCode,capacity_zip_sum
0,1,0,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,0,1709575210,0,0,2024-03-04 18:00:10,1,100.0,0.0,South St & Broad St,40.70188858913366,-74.01089876890182,3,10004,387
15,4,10,1861682182353914188,2,1709648297,1,0,2024-03-05 14:18:17,29,13.793103448275861,51.724137931034484,W 238 St & Tibbett Ave,40.88602,-73.90232,21,10463,446
2,24,2,2e66af7d-bcdd-441f-9f7e-7e17f5c9275e,0,1709648298,1,0,2024-03-05 14:18:18,28,85.71428571428571,7.142857142857142,Carlton Ave & St Marks Ave,40.67911856082165,-73.97176265716553,27,11217,885
12,18,4,1808184356986544410,1,1709648298,1,0,2024-03-05 14:18:18,34,52.94117647058824,35.294117647058826,Van Dam St & Meeker Ave,40.72532,-73.9368,31,11222,1314
15,4,6,a6287af0-9a9e-4708-b61f-8e758be4b914,1,1709648298,1,0,2024-03-05 14:18:18,25,16.0,60.0,31 Ave & Crescent St,40.7658346,-73.9265474,21,11106,571
4,10,1,8ea3301f-6940-4e0f-80f0-7a3e54b2eaa5,5,1709648298,1,0,2024-03-05 14:18:18,15,66.66666666666666,26.666666666666668,E 133 St & Cypress Pl,40.80262,-73.9174,19,10454,437
6,39,5,c042a307-2d7d-4ee9-95b7-a7505a3428c2,0,1709648298,1,0,2024-03-05 14:18:18,50,78.0,12.0,W 56 St & 8 Ave,40.765959181657976,-73.98313522338867,50,10019,1746
17,33,13,2c366f4b-8319-41bf-ab8e-2fba3a952feb,3,1709648298,1,1,2024-03-05 14:18:18,63,52.38095238095239,26.984126984126984,W 42 St & 6 Ave,40.75492,-73.98455,55,10036,966
2,21,2,bf5a9ad8-6725-4ade-967d-aba612d423bf,1,1709648298,1,0,2024-03-05 14:18:18,25,84.0,8.0,Eastern Pkwy & Rochester Ave,40.66846,-73.9282,24,11213,698
6,16,1,8ef6ec7d-e898-4edc-8f3f-af888f8c5ef4,1,1709648299,1,0,2024-03-05 14:18:19,23,69.56521739130434,26.08695652173913,Jerome Ave & Bedford Park Blvd E,40.87307,-73.88971,25,10468,708
1,29,1,1828967830172187422,0,1709648299,1,0,2024-03-05 14:18:19,31,93.54838709677419,3.225806451612903,84 St & Roosevelt Ave,40.74797,-73.88204,30,11372,601
13,2,10,514f3dda-4d08-464c-b2d4-5706d400065a,2,1709648299,1,0,2024-03-05 14:18:19,25,8.0,52.0,39 Ave & 45 St,40.74947822183477,-73.91826465725897,19,11104,289
15,5,2,00967b8f-1a4d-4131-a65a-17fa8ca89e28,0,1709648299,1,0,2024-03-05 14:18:19,22,22.727272727272727,68.18181818181817,41 Ave & 67 St,40.74446,-73.89764,20,11377,1095
15,6,0,1835247469495105628,0,1709648299,1,0,2024-03-05 14:18:19,21,28.57142857142857,71.42857142857143,25 Ave & 96 St,40.76447,-73.87369,21,11369,564
23,35,5,66db3d2a-0aca-11e7-82f6-3863bb44ef7c,3,1709648300,1,0,2024-03-05 14:18:20,63,55.55555555555556,36.507936507936506,Willoughby St & Fleet St,40.69196566,-73.9813018,62,11201,2201
21,6,4,1804894168423871442,2,1709648300,1,0,2024-03-05 14:18:20,31,19.35483870967742,67.74193548387096,Walton Ave & E 151 St,40.82090903827738,-73.92753845245076,29,10451,645
2,15,2,e15a5c77-70b0-4b9d-9eae-f10ddda7d994,6,1709648300,1,0,2024-03-05 14:18:20,19,78.94736842105263,10.526315789473683,Jerome Ave & E Mosholu Pkwy S,40.87935,-73.88534,23,10467,23
24,8,18,1861683217585879154,3,1709648300,1,0,2024-03-05 14:18:20,50,16.0,48.0,Broadway & Van Cortlandt Park S,40.8863,-73.8997,35,10463,446
18,10,1,1786700154621508184,1,1709648300,1,0,2024-03-05 14:18:20,29,34.48275862068966,62.06896551724138,N Henry St & Norman Ave,40.7277,-73.94395,29,11222,1314
29,10,10,66db7637-0aca-11e7-82f6-3863bb44ef7c,1,1709648300,1,1,2024-03-05 14:18:20,49,20.408163265306122,59.183673469387756,Fulton St & William St,40.70960089363537,-74.00655090808868,43,10038,445
18,5,1,66dce660-0aca-11e7-82f6-3863bb44ef7c,1,1709648301,1,0,2024-03-05 14:18:21,24,20.833333333333336,75.0,Leonard St & Boerum St,40.70583339,-73.94644578,24,11206,831
2,19,1,dcdaa64b-4d2c-4017-bfb9-da25924f851d,0,1709648301,1,0,2024-03-05 14:18:21,22,86.36363636363636,9.090909090909092,Steinway St & 21 Ave,40.774798,-73.903787,21,11105,731
2,18,1,023127f2-a6e0-4fae-ba34-178acccb993e,1,1709648301,1,0,2024-03-05 14:18:21,21,85.71428571428571,9.523809523809524,5 Ave & E 135 St,40.812191,-73.937838,21,10037,178
14,3,4,40fd82d6-c0e9-4876-adfb-816140ecfc39,1,1709648301,1,0,2024-03-05 14:18:21,21,14.285714285714285,66.66666666666666,Fort Hamilton Pkwy & E 2 St,40.648005,-73.979342,19,11218,736
17,4,0,66de08c9-0aca-11e7-82f6-3863bb44ef7c,0,1709648301,1,0,2024-03-05 14:18:21,21,19.047619047619047,80.95238095238095,Clinton St & Centre St,40.67434,-74.00194698,21,11231,986
19,0,2,1817432233006383832,5,1709648302,1,1,2024-03-05 14:18:22,21,0.0,90.47619047619048,Rugby Rd & Beverley Rd,40.64435,-73.96591,25,11226,713
9,20,4,ecb2eebe-67c0-43b8-baae-71abb1a0ec6a,0,1709648302,1,0,2024-03-05 14:18:22,33,60.60606060606061,27.27272727272727,W 135 St & Lenox Terrace Pl,40.813619,-73.939336,29,10037,178
1,20,1,17aeb1e3-fd18-4cf9-9473-17dfa5b0a312,1,1709648302,1,0,2024-03-05 14:18:22,22,90.9090909090909,4.545454545454546,Union St & Bedford Ave,40.6691783,-73.9554162,24,11225,718
7,17,0,5f0aa684-a1c5-4119-827f-7860f1cd4ccd,0,1709648302,1,1,2024-03-05 14:18:22,24,70.83333333333334,29.166666666666668,Bushwick Ave & Harman St,40.69356,-73.92524,25,11221,906
